symbol,price,quantity,side,bid_inclusive_of_sell_spread,sell_spread,timestamp
DOGE-USD,0.40894853,1,bid,0.40662716,0.00567644,2024-12-09T20:43:57.175689295-05:00
DOGE-USD,0.40910147,1,bid,0.40677857,0.00567805,2024-12-09T20:44:57.378352035-05:00
DOGE-USD,0.410847315,1,bid,0.4085687,0.00554614,2024-12-09T20:45:57.543727892-05:00
DOGE-USD,0.411236875,1,bid,0.40893533,0.00559664,2024-12-09T20:46:57.725696676-05:00
DOGE-USD,0.412059945,1,bid,0.40980191,0.00547987,2024-12-09T20:47:57.94137491-05:00
DOGE-USD,0.41063799,1,bid,0.40838969,0.00547514,2024-12-09T20:48:58.11749223-05:00
DOGE-USD,0.41135347,1,bid,0.4090483,0.00560387,2024-12-09T20:49:58.304476736-05:00
DOGE-USD,0.412708835,1,bid,0.41038569,0.00562902,2024-12-09T20:50:58.493482695-05:00
DOGE-USD,0.411980655,1,bid,0.4097136,0.00550282,2024-12-09T20:51:58.671886486-05:00
DOGE-USD,0.41233843,1,bid,0.41003065,0.00559681,2024-12-09T20:52:58.867170586-05:00
DOGE-USD,0.413307735,1,bid,0.41102517,0.00552268,2024-12-09T20:53:59.062195961-05:00
DOGE-USD,0.41333514,1,bid,0.41104506,0.00554049,2024-12-09T20:54:59.255963905-05:00
DOGE-USD,0.41385942,1,bid,0.41155066,0.00557861,2024-12-09T20:55:59.420278172-05:00
DOGE-USD,0.413582415,1,bid,0.41128216,0.00556178,2024-12-09T20:56:59.605474562-05:00
DOGE-USD,0.41402792,1,bid,0.41173128,0.00554707,2024-12-09T20:57:59.832316149-05:00
DOGE-USD,0.414317235,1,bid,0.41201803,0.00554938,2024-12-09T20:59:00.026748045-05:00
DOGE-USD,0.41441542,1,bid,0.41210919,0.00556502,2024-12-09T21:00:00.259833844-05:00
DOGE-USD,0.412708835,1,bid,0.41038569,0.00562902,2024-12-09T21:01:00.454288641-05:00
DOGE-USD,0.41197457,1,bid,0.40972217,0.00546733,2024-12-09T21:02:00.648647805-05:00
DOGE-USD,0.41100453,1,bid,0.40874372,0.00550069,2024-12-09T21:03:00.804253364-05:00
DOGE-USD,0.410191335,1,bid,0.40781531,0.00579248,2024-12-09T21:04:00.993557649-05:00
DOGE-USD,0.410776845,1,bid,0.40838184,0.00583043,2024-12-09T21:05:01.190721181-05:00
DOGE-USD,0.40938252,1,bid,0.40702891,0.00574917,2024-12-09T21:06:01.384918533-05:00
DOGE-USD,0.409187435,1,bid,0.40678163,0.00587947,2024-12-09T21:07:01.594062826-05:00
DOGE-USD,0.4081622,1,bid,0.40579549,0.00579845,2024-12-09T21:08:01.790124115-05:00
DOGE-USD,0.407082535,1,bid,0.4048175,0.00556407,2024-12-09T21:09:02.007672927-05:00
DOGE-USD,0.406385555,1,bid,0.40410264,0.00561761,2024-12-09T21:10:02.231370118-05:00
DOGE-USD,0.406178045,1,bid,0.40388368,0.00564867,2024-12-09T21:11:02.415047859-05:00
DOGE-USD,0.40670192,1,bid,0.4044505,0.0055358,2024-12-09T21:12:02.588137169-05:00
DOGE-USD,0.40719044,1,bid,0.40489892,0.00562764,2024-12-09T21:13:02.804867769-05:00
DOGE-USD,0.40744653,1,bid,0.40520722,0.00549596,2024-12-09T21:14:02.995389497-05:00
DOGE-USD,0.40773399,1,bid,0.40541105,0.00569719,2024-12-09T21:15:03.186731456-05:00
DOGE-USD,0.408847555,1,bid,0.40656861,0.00557407,2024-12-09T21:16:03.379607641-05:00
DOGE-USD,0.40824518,1,bid,0.40600315,0.00549187,2024-12-09T21:17:03.584590072-05:00
DOGE-USD,0.409707935,1,bid,0.40741387,0.00559927,2024-12-09T21:18:03.771511534-05:00
DOGE-USD,0.40704618,1,bid,0.40474696,0.00564855,2024-12-09T21:19:03.949164968-05:00
DOGE-USD,0.405316765,1,bid,0.40302853,0.00564555,2024-12-09T21:20:04.14232766-05:00
DOGE-USD,0.406478145,1,bid,0.40412419,0.0057911,2024-12-09T21:21:04.321233838-05:00
DOGE-USD,0.4048587,1,bid,0.4025221,0.0057714,2024-12-09T21:22:04.48964323-05:00
DOGE-USD,0.40522924,1,bid,0.4029571,0.00560705,2024-12-09T21:23:04.655244659-05:00
DOGE-USD,0.40422972,1,bid,0.40187242,0.00583159,2024-12-09T21:24:04.83579787-05:00
DOGE-USD,0.40339267,1,bid,0.40105405,0.00579738,2024-12-09T21:25:05.015270728-05:00
DOGE-USD,0.40294197,1,bid,0.40068704,0.00559617,2024-12-09T21:26:05.213366251-05:00
DOGE-USD,0.40307901,1,bid,0.40083888,0.00555755,2024-12-09T21:27:05.401779918-05:00
DOGE-USD,0.402324295,1,bid,0.40006354,0.00561924,2024-12-09T21:28:05.592505408-05:00
DOGE-USD,0.402652395,1,bid,0.40028517,0.00587908,2024-12-09T21:29:05.772497539-05:00
DOGE-USD,0.402848605,1,bid,0.40057977,0.00563198,2024-12-09T21:30:05.945429107-05:00
DOGE-USD,0.40174293,1,bid,0.3993983,0.00583615,2024-12-09T21:31:06.196870865-05:00
DOGE-USD,0.40306586,1,bid,0.40071425,0.00583431,2024-12-09T21:32:06.372061681-05:00
DOGE-USD,0.40091585,1,bid,0.39854882,0.00590406,2024-12-09T21:33:06.559652222-05:00
DOGE-USD,0.40131294,1,bid,0.39892111,0.00596001,2024-12-09T21:34:06.717408627-05:00
DOGE-USD,0.402106635,1,bid,0.39983809,0.00564165,2024-12-09T21:35:06.898319834-05:00
DOGE-USD,0.40217023,1,bid,0.39978489,0.00593117,2024-12-09T21:36:07.119564215-05:00
